"Story","Title","Result","Date","Stability","Duration (s)"
"Create shipment ordered by phone","Create a new shipment based on minimal required information","PENDING","2018-04-18T10:50:07.418Z","0.0","0.32"
"Create shipment ordered by phone","Create a new shipment with all information","PENDING","2018-04-18T10:50:07.883Z","0.0","0.32"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2018-04-18T10:50:09.048Z","0.0","0.06"
"Show list of tasks for current user","Display a message if there is no task assigned to current user","IGNORED","2018-04-18T10:50:08.511Z","0.0","0.08"
"Show list of tasks for current user","List all tasks assigned to current user","IGNORED","2018-04-18T10:50:08.435Z","0.0","0.07"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2018-04-18T10:50:17.402Z","0.0","7.87"
"Show current shipments","List open shipments with 5 shipments","PENDING","2018-04-18T10:50:09.450Z","0.0","0.01"
"Show current shipments","List open shipments without shipments","SUCCESS","2018-04-18T10:50:09.463Z","0.0","7.85"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2018-04-18T10:50:09.003Z","0.0","0.02"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2018-04-18T10:50:09.028Z","0.0","0.02"
"Show details of a shipment","Show the details of a shipment","PENDING","2018-04-18T10:50:08.817Z","0.0","0.03"
